SiteID1,SiteID2,SiteName,SiteLat,SiteLon,SiteLonAdj
CO00COKY01A,Ocean2kHR_001,Malindi Marine Park,-3.2556,40.1433,40.1433
CO00DRBE01A,Ocean2kHR_124,"Northeast Breakers, Bermuda",32.3,295.3,-64.69999999999999
CO00FERA01A,Ocean2kHR_019,"Ras Umm Sidd, Red Sea",27.85,34.32,34.32
CO00KUNI01A,CO00KUNI01Ab,"Ningaloo Reef, West Australia",-21.905,113.965,113.965
CO00URMA01,Ocean2kHR_177,"Maiana Atoll, Republic of Kiribati",0.9329999999999999,173.0,173.0
CO01TUNG01A,Ocean2kHR_140,"Deplik Tabat Reef, Madang Lagoon",-5.2170000000000005,145.817,145.817
CO01TUNG02A,Ocean2kHR_141,"Deplik Tabat Reef, Madang Lagoon",-5.2170000000000005,145.817,145.817
CO02KUBE01A,Ocean2kHR_102,"North East Breakers, Bermuda",32.47,295.3,-64.69999999999999
CO03CHBA01A,Ocean2kHR_006,"Lombok Strait, Bali, Indonesia",-8.2573,115.5757,115.5757
CO03CHBU01A,Ocean2kHR_171,Bunaken Island,-1.5,124.833,124.833
CO03COPM00A,Ocean2kHR_139,Palmyra (composite),5.87,197.87,-162.13
CO04BAFI00A,CO04BAFI00A,"Savusavu Bay, Fiji",-16.8167,179.2333,179.2333
CO04KIVA01A,Ocean2kHR_174,"Malo Channel, Espiritu Santo Island, Vanuatu",-15.7,167.2,167.2
CO04LIFI01A,Ocean2kHR_157,Savusavu Bay,-16.8167,179.2333,179.2333
CO04LIRA01A,CO04LIRA01A,"Rarotonga, Cook Islands, South Pacific",-21.2378,200.1722,-159.8278
CO04MGNG01A,CO04MGNG01A,Papua New Guinea,-3.6206,143.6819,143.6819
CO04PFCH02A,CO04PFCH02A,Peros Banhos Atoll,-5.43,71.77,71.77
CO04PFRE01A,Ocean2kHR_013,"La Reunion, Southwestern Indian Ocean",-21.0333,55.25,55.25
CO04ZIMG01A,Ocean2kHR_020,"Ifaty Reef, SW Madagascar",-23.15,43.58,43.58
CO05ASGU01A,Ocean2kHR_166,Guam Coral,13.597999999999999,144.836,144.836
